Table,Field,Type,Description
MWQMAnalysisReportParameters,WetLimit96h,Int32 (min=1) (max=100),Wet limit 96h
MWQMAnalysisReportParameters,RunsToOmit,String (max=250),Runs to omit
MWQMAnalysisReportParameters,ShowDataTypes,String (max=20),Show data type
MWQMAnalysisReportParameters,ExcelTVFileTVItemID,Int32,Link to the TVItems table representing Excel file
MWQMAnalysisReportParameters,Command,AnalysisReportExportCommandEnum (int),Analysis report export command
MWQMAnalysisReportParameters,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MWQMAnalysisReportParameters,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MWQMLookupMPNs,,,The MWQMLookupMPNs table contains all possible MPNs.
MWQMLookupMPNs,MWQMLookupMPNID,Int32 (key),Contains the unique identifier on each row of the MWQMLookupMPNs table
MWQMLookupMPNs,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MWQMLookupMPNs,Tubes10,Int32 (min=0) (max=5),Number of positive tube for Tube 10
MWQMLookupMPNs,Tubes1,Int32 (min=0) (max=5),Number of positive tube for Tube 1
MWQMLookupMPNs,Tubes01,Int32 (min=0) (max=5),Number of positive tube for Tube .1
MWQMLookupMPNs,MPN_100ml,Int32 (min=1) (max=10000),Most probable number of fecal coliform colonies per 100 mL
MWQMLookupMPNs,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MWQMLookupMPNs,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MWQMRuns,,,The MWQMRuns table contains fields for holding and managing a marine water quality monitoring runs.
MWQMRuns,MWQMRunID,Int32 (key),Contains the unique identifier on each row of the MWQMRuns table
MWQMRuns,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MWQMRuns,SubsectorTVItemID,Int32,Link to the TVItems table representing subsector
MWQMRuns,MWQMRunTVItemID,Int32,Link to the TVItems table representing MWQM run
MWQMRuns,RunSampleType,SampleTypeEnum (int),Sample type
MWQMRuns,DateTime_Local,DateTime,Date (local)
MWQMRuns,RunNumber,Int32 (min=1) (max=1000),Run number
MWQMRuns,StartDateTime_Local,DateTime,Start date
MWQMRuns,EndDateTime_Local,DateTime,End date
MWQMRuns,LabReceivedDateTime_Local,DateTime,Lab received date
MWQMRuns,TemperatureControl1_C,Double (min=-10) (max=40),Temperature control 1 in degree Celcius
MWQMRuns,TemperatureControl2_C,Double (min=-10) (max=40),Temperature control 2 in degree Celcius
MWQMRuns,SeaStateAtStart_BeaufortScale,BeaufortScaleEnum (int),Sea state at start (Beaufort scale)
MWQMRuns,SeaStateAtEnd_BeaufortScale,BeaufortScaleEnum (int),Sea state at end (Beaufort scale)
MWQMRuns,WaterLevelAtBrook_m,Double (min=0) (max=100),Water level at brook in meters
MWQMRuns,WaveHightAtStart_m,Double (min=0) (max=100),Water height at start in meters
MWQMRuns,WaveHightAtEnd_m,Double (min=0) (max=100),Water height at end in meters
MWQMRuns,SampleCrewInitials,String (max=20),Sample crew initials
MWQMRuns,AnalyzeMethod,AnalyzeMethodEnum (int),Analyze method
MWQMRuns,SampleMatrix,SampleMatrixEnum (int),Sample matrix
MWQMRuns,Laboratory,LaboratoryEnum (int),Laboratory
MWQMRuns,SampleStatus,SampleStatusEnum (int),Sample status
MWQMRuns,LabSampleApprovalContactTVItemID,Int32,Laboratory sample approval contact TVItemID
MWQMRuns,LabAnalyzeBath1IncubationStartDateTime_Local,DateTime,Laboratory analyze bath 1 incubation start date (local)
MWQMRuns,LabAnalyzeBath2IncubationStartDateTime_Local,DateTime,Laboratory analyze bath 2 incubation start date (local)
MWQMRuns,LabAnalyzeBath3IncubationStartDateTime_Local,DateTime,Laboratory analyze bath 3 incubation start date (local)
MWQMRuns,LabRunSampleApprovalDateTime_Local,DateTime,Lab run sample approval date (local)
MWQMRuns,Tide_Start,TideTextEnum (int),Tide start
MWQMRuns,Tide_End,TideTextEnum (int),Tide end
MWQMRuns,RainDay0_mm,Double (min=0) (max=300),Rain day 0 in millimeters
MWQMRuns,RainDay1_mm,Double (min=0) (max=300),Rain day 1 in millimeters
MWQMRuns,RainDay2_mm,Double (min=0) (max=300),Rain day 2 in millimeters
MWQMRuns,RainDay3_mm,Double (min=0) (max=300),Rain day 3 in millimeters
MWQMRuns,RainDay4_mm,Double (min=0) (max=300),Rain day 4 in millimeters
MWQMRuns,RainDay5_mm,Double (min=0) (max=300),Rain day 5 in millimeters
MWQMRuns,RainDay6_mm,Double (min=0) (max=300),Rain day 6 in millimeters
MWQMRuns,RainDay7_mm,Double (min=0) (max=300),Rain day 7 in millimeters
MWQMRuns,RainDay8_mm,Double (min=0) (max=300),Rain day 8 in millimeters
MWQMRuns,RainDay9_mm,Double (min=0) (max=300),Rain day 9 in millimeters
MWQMRuns,RainDay10_mm,Double (min=0) (max=300),Rain day 10 in millimeters
MWQMRuns,RemoveFromStat,Boolean,Remove from statistics
MWQMRuns,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MWQMRuns,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MWQMRunLanguages,,,The MWQMRunLanguages table contains fields for holding bilingual texts for the MWQMRuns table.
MWQMRunLanguages,MWQMRunLanguageID,Int32 (key),Contains the unique identifier on each row of the MWQMRunLanguages table
MWQMRunLanguages,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MWQMRunLanguages,MWQMRunID,Int32,Link to the MWQMRuns table representing the MWQM run
MWQMRunLanguages,Language,LanguageEnum (int),Language of item
MWQMRunLanguages,RunComment,String,Run comment
MWQMRunLanguages,TranslationStatusRunComment,TranslationStatusEnum (int),Translation status of the run comment
MWQMRunLanguages,RunWeatherComment,String,Run weather comment
MWQMRunLanguages,TranslationStatusRunWeatherComment,TranslationStatusEnum (int),Translation status of the run weather comment
MWQMRunLanguages,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MWQMRunLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MWQMSamples,,,The MWQMSamples table contains fields for holding sample results for a marine water quality site and run.
MWQMSamples,MWQMSampleID,Int32 (key),Contains the unique identifier on each row of the MWQMSamples table
MWQMSamples,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MWQMSamples,MWQMSiteTVItemID,Int32,Link to the TVItems table reporesenting MWQM site
MWQMSamples,MWQMRunTVItemID,Int32,Link to the TVItems table representing MWQM run
MWQMSamples,SampleDateTime_Local,DateTime,Sample date and time (local)
MWQMSamples,TimeText,String (max=6),Time Text
MWQMSamples,Depth_m,Double (min=0) (max=1000),Depth in meters
MWQMSamples,FecCol_MPN_100ml,Int32 (min=0) (max=10000000),Most probable number of fecal coliform colonies per 100 milli-Litres
MWQMSamples,Salinity_PPT,Double (min=0) (max=40),Salinity in parts per thousand
MWQMSamples,WaterTemp_C,Double (min=-10) (max=40),Temperatrue in degree Celcius
MWQMSamples,PH,Double (min=0) (max=14),pH
MWQMSamples,SampleTypesText,String (max=50),Sample types
MWQMSamples,SampleType_old,SampleTypeEnum (int),Old sample type
MWQMSamples,Tube_10,Int32 (min=0) (max=5),Number of positive tube for Tube 10
MWQMSamples,Tube_1_0,Int32 (min=0) (max=5),Number of positive tube for Tube 1
MWQMSamples,Tube_0_1,Int32 (min=0) (max=5),Number of positive tube for Tube .1
MWQMSamples,ProcessedBy,String (max=10),Processed by
MWQMSamples,UseForOpenData,Boolean,Used for open data
MWQMSamples,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MWQMSamples,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MWQMSampleLanguages,,,The MWQMSampleLanguages table contains fields for holding bilingual texts for the MWQMSamples table.
MWQMSampleLanguages,MWQMSampleLanguageID,Int32 (key),Contains the unique identifier on each row of the MWQMSampleLanguages table
MWQMSampleLanguages,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MWQMSampleLanguages,MWQMSampleID,Int32,Link to the MWQMSamples table representing the MWQM sample
MWQMSampleLanguages,Language,LanguageEnum (int),Language of item
MWQMSampleLanguages,MWQMSampleNote,String,MWQM sample note
MWQMSampleLanguages,TranslationStatus,TranslationStatusEnum (int),Translation status of the comment
MWQMSampleLanguages,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MWQMSampleLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MWQMSites,,,The MWQMSites table contains fields for holding and managing marine water quality monitoring sites.
MWQMSites,MWQMSiteID,Int32 (key),Contains the unique identifier on each row of the MWQMSites table
MWQMSites,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MWQMSites,MWQMSiteTVItemID,Int32,Link to the TVItems table representing MWQM site
MWQMSites,MWQMSiteNumber,String (max=8),MWQM site number
MWQMSites,MWQMSiteDescription,String (max=200),MWQM site description
MWQMSites,MWQMSiteLatestClassification,MWQMSiteLatestClassificationEnum (int),MWQM site latest classification
MWQMSites,Ordinal,Int32 (min=0) (max=1000),Ordinal
MWQMSites,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MWQMSites,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MWQMSiteStartEndDates,,,The MWQMSiteStartEndDates table contains fields for storing the marine water quality monitoring site activity dates.
MWQMSiteStartEndDates,MWQMSiteStartEndDateID,Int32 (key),Contains the unique identifier on each row of the MWQMSiteStartEndDates table
MWQMSiteStartEndDates,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MWQMSiteStartEndDates,MWQMSiteTVItemID,Int32,Link to the TVItems table representing MWQM site
MWQMSiteStartEndDates,StartDate,DateTime,Start date
MWQMSiteStartEndDates,EndDate,DateTime,End date
MWQMSiteStartEndDates,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MWQMSiteStartEndDates,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MWQMSubsectors,,,The MWQMSubsectors table contains fields for describing the marine water quality monitoring subsectors.
MWQMSubsectors,MWQMSubsectorID,Int32 (key),Contains the unique identifier on each row of the MWQMSubsectors table
MWQMSubsectors,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MWQMSubsectors,MWQMSubsectorTVItemID,Int32,Link to the TVItems table representing MWQM subsector
MWQMSubsectors,SubsectorHistoricKey,String (max=20),Subsector historic key
MWQMSubsectors,TideLocationSIDText,String (max=20),Tide location SID text
MWQMSubsectors,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MWQMSubsectors,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MWQMSubsectorLanguages,,,The MWQMSubsectorLanguages table contains fields for holding bilingual texts for the MWQMSubsectors table.
MWQMSubsectorLanguages,MWQMSubsectorLanguageID,Int32 (key),Contains the unique identifier on each row of the MWQMSubsectorLanguages table
MWQMSubsectorLanguages,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MWQMSubsectorLanguages,MWQMSubsectorID,Int32,Link to the MWQMSubsectors table representing the MWQM subsector
MWQMSubsectorLanguages,Language,LanguageEnum (int),Language of item
MWQMSubsectorLanguages,SubsectorDesc,String (max=250),Subsector description
MWQMSubsectorLanguages,TranslationStatusSubsectorDesc,TranslationStatusEnum (int),Translation status of the subsector description
MWQMSubsectorLanguages,LogBook,String,Log book
MWQMSubsectorLanguages,TranslationStatusLogBook,TranslationStatusEnum (int),Translation status of the log book
MWQMSubsectorLanguages,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MWQMSubsectorLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
PolSourceGroupings,,,The PolSourceGroupings table contains fields for pollution source grouping which is used to formulate sentence from selected options while describing pollution source sites and issues.
PolSourceGroupings,PolSourceGroupingID,Int32 (key),Contains the unique identifier on each row of the PolSourceGroupings table
PolSourceGroupings,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
PolSourceGroupings,CSSPID,Int32 (min=10000) (max=100000),CSSP unique ID
PolSourceGroupings,GroupName,String (max=500),Groupe name
PolSourceGroupings,Child,String (max=500),Groupe name
PolSourceGroupings,Hide,String (max=500),Groupe name
PolSourceGroupings,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
PolSourceGroupings,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
PolSourceGroupingLanguages,,,The PolSourceGroupingLanguages table contains fields for holding bilingual texts for the PolSourceGroupings table.
PolSourceGroupingLanguages,PolSourceGroupingLanguageID,Int32 (key),Contains the unique identifier on each row of the PolSourceGroupingLanguages table
PolSourceGroupingLanguages,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
PolSourceGroupingLanguages,PolSourceGroupingID,Int32,Link to the PolSourceGroupings table representing the pollution source grouping
PolSourceGroupingLanguages,Language,LanguageEnum (int),Language of item
PolSourceGroupingLanguages,SourceName,String (max=500),Source Name
PolSourceGroupingLanguages,SourceNameOrder,Int32 (min=0) (max=1000),Source name ordering number
PolSourceGroupingLanguages,TranslationStatusSourceName,TranslationStatusEnum (int),Translation status of the source name
PolSourceGroupingLanguages,Init,String (max=50),Initial
PolSourceGroupingLanguages,TranslationStatusInit,TranslationStatusEnum (int),Translation status of Init
PolSourceGroupingLanguages,Description,String (max=500),Description
PolSourceGroupingLanguages,TranslationStatusDescription,TranslationStatusEnum (int),Translation status of Description
PolSourceGroupingLanguages,Report,String (max=500),Report
PolSourceGroupingLanguages,TranslationStatusReport,TranslationStatusEnum (int),Translation status of Report
PolSourceGroupingLanguages,Text,String (max=500),Text
PolSourceGroupingLanguages,TranslationStatusText,TranslationStatusEnum (int),Translation status of Text
PolSourceGroupingLanguages,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
PolSourceGroupingLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
PolSourceObservations,,,The PolSourceObservations table contains fields for holding the pollution source observation related information.
PolSourceObservations,PolSourceObservationID,Int32 (key),Contains the unique identifier on each row of the PolSourceObservations table
PolSourceObservations,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
PolSourceObservations,PolSourceSiteID,Int32,Link to the PolSourceSites table representing the pollution source site
PolSourceObservations,ObservationDate_Local,DateTime,Observation date
PolSourceObservations,ContactTVItemID,Int32,Link to the TVItems table representing the contact who made the observation
PolSourceObservations,DesktopReviewed,Boolean,Desktop Reviewed
PolSourceObservations,Observation_ToBeDeleted,String,Observation to be deleted
PolSourceObservations,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
PolSourceObservations,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
PolSourceObservationIssues,,,The PolSourceObservationIssues table contains fields for holding the description of the pollution source observation issues.
PolSourceObservationIssues,PolSourceObservationIssueID,Int32 (key),Contains the unique identifier on each row of the PolSourceObservationIssues table
PolSourceObservationIssues,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
PolSourceObservationIssues,PolSourceObservationID,Int32,Link to the PolSourceObservations table representing the pollution source observation
PolSourceObservationIssues,ObservationInfo,String (max=250),Observation information is a series of numbers representing the path of a collection of descriptive text
PolSourceObservationIssues,Ordinal,Int32 (min=0) (max=1000),Ordinal
PolSourceObservationIssues,ExtraComment,String,Extra comment
PolSourceObservationIssues,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
PolSourceObservationIssues,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
PolSourceSites,,,The PolSourceSites table contains fields for holding and managing pollution source sites.
PolSourceSites,PolSourceSiteID,Int32 (key),Contains the unique identifier on each row of the PolSourceSites table
PolSourceSites,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
PolSourceSites,PolSourceSiteTVItemID,Int32,Link to the TVItems table representing pollution source site
PolSourceSites,Temp_Locator_CanDelete,String (max=50),Temporary locator which can be deleted in the future
PolSourceSites,Oldsiteid,Int32 (min=0) (max=1000),Old site ID
PolSourceSites,Site,Int32 (min=0) (max=1000),Site number/text
PolSourceSites,SiteID,Int32 (min=0) (max=1000),Site ID (not used)
PolSourceSites,IsPointSource,Boolean,Is point source
PolSourceSites,InactiveReason,PolSourceInactiveReasonEnum (int),Pollution source inactive reason
PolSourceSites,CivicAddressTVItemID,Int32,Link to the TVItems table representing the civic address
PolSourceSites,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
PolSourceSites,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
PolSourceSiteEffects,,,The PolSourceSiteEffects table contains fields for establishing the effects of pollution source site.
PolSourceSiteEffects,PolSourceSiteEffectID,Int32 (key),Contains the unique identifier on each row of the PolSourceSiteEffects table
PolSourceSiteEffects,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
PolSourceSiteEffects,PolSourceSiteOrInfrastructureTVItemID,Int32,Link to the TVItems table representing pollution source site or infrastructure
PolSourceSiteEffects,MWQMSiteTVItemID,Int32,Link to the TVItems table representing MWQM site
PolSourceSiteEffects,PolSourceSiteEffectTermIDs,String (max=250),List of terms ID
PolSourceSiteEffects,Comments,String,Comments
PolSourceSiteEffects,AnalysisDocumentTVItemID,Int32,Link to the TVItems table representing file
PolSourceSiteEffects,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
PolSourceSiteEffects,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
PolSourceSiteEffectTerms,,,The PolSourceSiteEffectTerms table contains all the terms used to describe the effects of pollution source site.
PolSourceSiteEffectTerms,PolSourceSiteEffectTermID,Int32 (key),Contains the unique identifier on each row of the PolSourceSiteEffectTerms table
PolSourceSiteEffectTerms,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
PolSourceSiteEffectTerms,IsGroup,Boolean,Is group
PolSourceSiteEffectTerms,UnderGroupID,Int32,Pollution source site effect term ID
PolSourceSiteEffectTerms,EffectTermEN,String (max=100),English effect term
PolSourceSiteEffectTerms,EffectTermFR,String (max=100),French effect term
PolSourceSiteEffectTerms,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
PolSourceSiteEffectTerms,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
RainExceedances,,,The RainExceedances table contains fields for managing rain exceedances.
RainExceedances,RainExceedanceID,Int32 (key),Contains the unique identifier on each row of the RainExceedances table
RainExceedances,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
RainExceedances,RainExceedanceTVItemID,Int32,Link to the TVItems table representing rain exceedance
RainExceedances,StartMonth,Int32 (min=1) (max=12),Starting month
RainExceedances,StartDay,Int32 (min=1) (max=31),Starting day
RainExceedances,EndMonth,Int32 (min=1) (max=12),Ending month
RainExceedances,EndDay,Int32 (min=1) (max=31),Ending day
RainExceedances,RainMaximum_mm,Double (min=0) (max=300),Rain maximum in millimètres
RainExceedances,StakeholdersEmailDistributionListID,Int32,Email distribution list
RainExceedances,OnlyStaffEmailDistributionListID,Int32,Email distribution list
RainExceedances,IsActive,Boolean,The rain exceedance is active
RainExceedances,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
RainExceedances,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
RainExceedanceClimateSites,,,The RainExceedanceClimateSites table contains fields for holding the links between rain exceedance and climate sites.
RainExceedanceClimateSites,RainExceedanceClimateSiteID,Int32 (key),Contains the unique identifier on each row of the RainExceedanceClimateSites table
RainExceedanceClimateSites,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
RainExceedanceClimateSites,RainExceedanceTVItemID,Int32,Link to the TVItems table representing rain exceedance
RainExceedanceClimateSites,ClimateSiteTVItemID,Int32,Link to the TVItems table representing climate site
RainExceedanceClimateSites,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
RainExceedanceClimateSites,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
RatingCurves,,,The RatingCurves table contains fields for storing rating curves for each hydrometric sites.
RatingCurves,RatingCurveID,Int32 (key),Contains the unique identifier on each row of the RatingCurves table
RatingCurves,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
RatingCurves,HydrometricSiteID,Int32,Link to the Hydrometrics table representing the hydrometric site
RatingCurves,RatingCurveNumber,String (max=50),Rating curve number
RatingCurves,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
RatingCurves,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
RatingCurveValues,,,The RatingCurveValues table contains fields for holding rating curve values for each hydrometric sites.
RatingCurveValues,RatingCurveValueID,Int32 (key),Contains the unique identifier on each row of the RatingCurveValues table
RatingCurveValues,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
RatingCurveValues,RatingCurveID,Int32,Link to the RatingCurves table representing the rating curve
RatingCurveValues,StageValue_m,Double (min=0) (max=1000),Stage value in meters
RatingCurveValues,DischargeValue_m3_s,Double (min=0) (max=1000000),Discharge value in cubic meters per second
RatingCurveValues,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
RatingCurveValues,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
ReportSections,,,The ReportSections table contains fields for holding report section used to produce various reports.
ReportSections,ReportSectionID,Int32 (key),Contains the unique identifier on each row of the ReportSections table
ReportSections,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
ReportSections,ReportTypeID,Int32,Link to the ReportTypes table representing the report type
ReportSections,TVItemID,Int32,Link to the TVItems table representing the item
ReportSections,Language,LanguageEnum (int),Language of item
ReportSections,Ordinal,Int32 (min=0) (max=1000),Ordinal
ReportSections,IsStatic,Boolean,Is static --- the text will not change in time
ReportSections,ParentReportSectionID,Int32,Parent report section ID
ReportSections,Year,Int32 (min=1979) (max=2050),Year for which the text is applicable
ReportSections,Locked,Boolean,Locked --- not currently used
ReportSections,TemplateReportSectionID,Int32,Template report section ID --- not currently used
ReportSections,ReportSectionName,String (max=100),Report section name
ReportSections,ReportSectionText,String (max=10000),Report section text
ReportSections,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
ReportSections,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
ReportTypes,,,The ReportTypes table contains fields for holding the report types that can be produce with just a click of a button.
ReportTypes,ReportTypeID,Int32 (key),Contains the unique identifier on each row of the ReportTypes table
ReportTypes,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
ReportTypes,TVType,TVTypeEnum (int),TV type
ReportTypes,FileType,FileTypeEnum (int),File type
ReportTypes,UniqueCode,String (max=100),Unique code --- used in code for knowing which document and type of document to create
ReportTypes,Language,LanguageEnum (int),Language of item
ReportTypes,Name,String (max=100),Name of the report type
ReportTypes,Description,String (max=1000),Description of the report type
ReportTypes,StartOfFileName,String (max=100),Start of file name
ReportTypes,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
ReportTypes,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
ResetPasswords,,,The ResetPasswords table contains basic fields to help with the reset of users password.
ResetPasswords,ResetPasswordID,Int32 (key),Contains the unique identifier on each row of the ResetPasswords table
ResetPasswords,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
ResetPasswords,Email,String (max=256),Email
ResetPasswords,ExpireDate_Local,DateTime,Expire date
ResetPasswords,Code,String (max=8),Code --- is a unique code generated on the server and sent to the user email
ResetPasswords,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
ResetPasswords,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
SamplingPlans,,,The SamplingPlans table contains fields for organizing sampling plans. It’s also the primary table use to create sampling plan text files that can be distributed to contractors, provinces and internal users. They use it with the application CSSPWQInputTool.
SamplingPlans,SamplingPlanID,Int32 (key),Contains the unique identifier on each row of the SamplingPlans table
SamplingPlans,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
SamplingPlans,IsActive,Boolean,Is active
SamplingPlans,SamplingPlanName,String (max=200),Sampling plan name
SamplingPlans,ForGroupName,String (max=100),For group name
SamplingPlans,SampleType,SampleTypeEnum (int),Sample type
SamplingPlans,SamplingPlanType,SamplingPlanTypeEnum (int),Sampling plan type
SamplingPlans,LabSheetType,LabSheetTypeEnum (int),Lab sheet type
SamplingPlans,ProvinceTVItemID,Int32,Link to the TVItems table representing the province
SamplingPlans,CreatorTVItemID,Int32,Link to the TVItems table representing the creator of the sampling plan
SamplingPlans,Year,Int32 (min=2000) (max=2050),Year
SamplingPlans,AccessCode,String (max=15),Access code
SamplingPlans,DailyDuplicatePrecisionCriteria,Double (min=0) (max=100),Daily duplicate precision criteria
SamplingPlans,IntertechDuplicatePrecisionCriteria,Double (min=0) (max=100),Intertech duplicate precision criteria
SamplingPlans,IncludeLaboratoryQAQC,Boolean,Include laboratory QA/QC
SamplingPlans,ApprovalCode,String (max=15),Approval code
SamplingPlans,SamplingPlanFileTVItemID,Int32,Link to the TVItems table representing the sampling plan file
SamplingPlans,AnalyzeMethodDefault,AnalyzeMethodEnum (int),Analyze method
SamplingPlans,SampleMatrixDefault,SampleMatrixEnum (int),Sample matrix
SamplingPlans,LaboratoryDefault,LaboratoryEnum (int),Laboratory
SamplingPlans,BackupDirectory,String (max=250),Backup directory
SamplingPlans,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
SamplingPlans,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
SamplingPlanEmails,,,The SamplingPlanEmails table contains fields for holding emails needed to be sent while filling lab sheets.
SamplingPlanEmails,SamplingPlanEmailID,Int32 (key),Contains the unique identifier on each row of the SamplingPlanEmails table
SamplingPlanEmails,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
SamplingPlanEmails,SamplingPlanID,Int32,Link to the SamplingPlans table representing the sampling plan
SamplingPlanEmails,Email,String (max=150),Email
SamplingPlanEmails,IsContractor,Boolean,Is contractor
SamplingPlanEmails,LabSheetHasValueOver500,Boolean,Lab sheet has value over 500
SamplingPlanEmails,LabSheetReceived,Boolean,Lab sheet received
SamplingPlanEmails,LabSheetAccepted,Boolean,Lab sheet accepted
SamplingPlanEmails,LabSheetRejected,Boolean,Lab sheet rejected
SamplingPlanEmails,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
SamplingPlanEmails,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
SamplingPlanSubsectors,,,The SamplingPlanSubsectors table contains fields for storing sampling plan subsector information.
SamplingPlanSubsectors,SamplingPlanSubsectorID,Int32 (key),Contains the unique identifier on each row of the SamplingPlanSubsectors table
SamplingPlanSubsectors,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
SamplingPlanSubsectors,SamplingPlanID,Int32,Link to the SamplingPlan table representing the sampling plan
SamplingPlanSubsectors,SubsectorTVItemID,Int32,Link to the TVItems table representing the subsector
SamplingPlanSubsectors,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
SamplingPlanSubsectors,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
SamplingPlanSubsectorSites,,,The SamplingPlanSubsectorSites table contains fields for storing and managing sampling plan subsector marine water quality monitoring sites.
SamplingPlanSubsectorSites,SamplingPlanSubsectorSiteID,Int32 (key),Contains the unique identifier on each row of the SamplingPlanSubsectorSites table
SamplingPlanSubsectorSites,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
SamplingPlanSubsectorSites,SamplingPlanSubsectorID,Int32,Link to the SamplingPlanSubsectors table representing the sampling plan subsector
SamplingPlanSubsectorSites,MWQMSiteTVItemID,Int32,Link to the TVItems table representing the MWQM site
SamplingPlanSubsectorSites,IsDuplicate,Boolean,Is duplicate
SamplingPlanSubsectorSites,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
SamplingPlanSubsectorSites,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
Spills,,,The Spills table contains fields for holding information regarding spills from municipal infrastructure or other types of spills.
Spills,SpillID,Int32 (key),Contains the unique identifier on each row of the Spills table
Spills,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
Spills,MunicipalityTVItemID,Int32,Link to the TVItems table representing the municipality
